,Topic,Persian,URL
71,Cross product definition,تعریف محصول متقابل,https://brilliant.org/wiki/cross-product-definition
72,Euclidean geometry homothety,همسانی هندسه اقلیدسی,https://brilliant.org/wiki/euclidean-geometry-homothety
73,Branches,شاخه ها,https://brilliant.org/wiki/branches
74,Summation by parts,جمع بندی بر اساس قطعات,https://brilliant.org/wiki/summation-by-parts
75,Pretty pyramids,اهرام زیبا,https://brilliant.org/wiki/pretty-pyramids
76,Polynomial division,تقسیم چند جمله ای,https://brilliant.org/wiki/polynomial-division
77,Sat exponents,نماهای نشسته,https://brilliant.org/wiki/sat-exponents
78,Identity element,عنصر هویت,https://brilliant.org/wiki/identity-element
79,Scapegoat tree,درخت بزغاله,https://brilliant.org/wiki/scapegoat-tree
80,Prime testing,تست پرایم,https://brilliant.org/wiki/prime-testing
81,Collinear points,نقاط خطی,https://brilliant.org/wiki/collinear-points
82,Sat functions,توابع سات,https://brilliant.org/wiki/sat-functions
83,Atoms sub atomic particles and elements,اتم ها ذرات و عناصر زیر اتمی,https://brilliant.org/wiki/atoms-sub-atomic-particles-and-elements
84,Solving linear systems using matrices,حل سیستم های خطی با استفاده از ماتریس,https://brilliant.org/wiki/solving-linear-systems-using-matrices
85,Dirichlet convolution,پیچیدگی دیریکله,https://brilliant.org/wiki/dirichlet-convolution
86,Logic gates,درگاه های منطقی,https://brilliant.org/wiki/logic-gates
87,Simplify radicals,رادیکال ها را ساده کنید,https://brilliant.org/wiki/simplify-radicals
88,Graphical interpretation of derivatives,تفسیر گرافیکی مشتقات,https://brilliant.org/wiki/graphical-interpretation-of-derivatives
89,Dot product definition,تعریف محصول نقطه ای,https://brilliant.org/wiki/dot-product-definition
90,Inverse trigonometric identities,هویت های مثلثاتی معکوس,https://brilliant.org/wiki/inverse-trigonometric-identities
91,Infimium,اینفیمیوم,https://brilliant.org/wiki/infimium
92,Fibonacci series,سری فیبوناچی,https://brilliant.org/wiki/fibonacci-series
93,Cosec and sec graphs,نمودارهای کوزک و ثانیه,https://brilliant.org/wiki/cosec-and-sec-graphs
94,Millennium prize problems,مشکلات جایزه هزاره,https://brilliant.org/wiki/millennium-prize-problems
95,Distributions,توزیع ها,https://brilliant.org/wiki/distributions
96,Van der waals force,نیروی واندروالس,https://brilliant.org/wiki/van-der-waals-force
97,Fenwick tree,درخت فنویک,https://brilliant.org/wiki/fenwick-tree
98,Analyzing inelastic collisions,تجزیه و تحلیل برخوردهای غیر ارتجاعی,https://brilliant.org/wiki/analyzing-inelastic-collisions
99,Are photons mass less,آیا فوتون ها جرم کمتری دارند؟,https://brilliant.org/wiki/are-photons-mass-less
100,Euler mascheroni constant,ثابت اویلر ماسکرونی,https://brilliant.org/wiki/euler-mascheroni-constant
101,Can continuous functions be drawn lifting the pen,آیا می توان توابع پیوسته را با بلند کردن قلم ترسیم کرد,https://brilliant.org/wiki/can-continuous-functions-be-drawn-lifting-the-pen
102,Johnsons algorithm,الگوریتم جانسون,https://brilliant.org/wiki/johnsons-algorithm
103,Addition of fractions misconception,اضافه شدن کسری تصور اشتباه,https://brilliant.org/wiki/addition-of-fractions-misconception
104,Solving mixture problems,حل مسائل مخلوط,https://brilliant.org/wiki/solving-mixture-problems
105,Hydrogen bonds,پیوند های هیدروژنی,https://brilliant.org/wiki/hydrogen-bonds
106,Method of differences,روش تفاوت ها,https://brilliant.org/wiki/method-of-differences
107,Percentages,درصدها,https://brilliant.org/wiki/percentages
108,Integration tricks,ترفندهای یکپارچه سازی,https://brilliant.org/wiki/integration-tricks
109,Mean absolute deivation,به معنای انحراف مطلق,https://brilliant.org/wiki/mean-absolute-deivation
110,Mathematical fallacies,مغالطه های ریاضی,https://brilliant.org/wiki/mathematical-fallacies
111,One dimensional kinematics motion along a straight,حرکت سینماتیک یک بعدی در امتداد یک راست,https://brilliant.org/wiki/one-dimensional-kinematics-motion-along-a-straight
112,Lagrange multipliers,ضرب کننده های لاگرانژ,https://brilliant.org/wiki/lagrange-multipliers
113,Spin,چرخش,https://brilliant.org/wiki/spin
114,Characteristics by group,ویژگی ها بر اساس گروه,https://brilliant.org/wiki/characteristics-by-group
115,Conics hyperbola,هذلولی مخروطی,https://brilliant.org/wiki/conics-hyperbola
116,Position time graph constant acceleration,موقعیت نمودار زمان شتاب ثابت,https://brilliant.org/wiki/position-time-graph-constant-acceleration
117,Tessellate stems 2019,Tessellate ساقه 2019,https://brilliant.org/wiki/tessellate-stems-2019
118,Jee exam preparation,آمادگی امتحان جی,https://brilliant.org/wiki/jee-exam-preparation
119,Insertion,درج,https://brilliant.org/wiki/insertion
120,Applications of hall marriage theorem,کاربردهای قضیه ازدواج سالنی,https://brilliant.org/wiki/applications-of-hall-marriage-theorem
121,Piecewise functions,توابع تکه تکه,https://brilliant.org/wiki/piecewise-functions
122,Integers,اعداد صحیح,https://brilliant.org/wiki/integers
123,Angles,زاویه,https://brilliant.org/wiki/angles
124,Trigonometric equations sum to product,معادلات مثلثاتی حاصل جمع,https://brilliant.org/wiki/trigonometric-equations-sum-to-product
125,Arithmetic mean geometric mean,میانگین حسابی میانگین هندسی,https://brilliant.org/wiki/arithmetic-mean-geometric-mean
126,Number theory,نظریه اعداد,https://brilliant.org/wiki/number-theory
127,Electrostatics,الکترواستاتیک,https://brilliant.org/wiki/electrostatics
128,Discrete random variables cumulative distribution,توزیع تجمعی متغیرهای تصادفی گسسته,https://brilliant.org/wiki/discrete-random-variables-cumulative-distribution
129,Pascals triangle,مثلث پاسکال,https://brilliant.org/wiki/pascals-triangle
130,Wavefunctions and measurement,توابع موج و اندازه گیری,https://brilliant.org/wiki/wavefunctions-and-measurement
131,Monte carlo,مونت کارلو,https://brilliant.org/wiki/monte-carlo
132,Epsilon delta definition of a limit,اپسیلون دلتا تعریف حد,https://brilliant.org/wiki/epsilon-delta-definition-of-a-limit
133,Vandermondes identity,هویت وندرموندز,https://brilliant.org/wiki/vandermondes-identity
134,Vietas formula,فرمول ویتاس,https://brilliant.org/wiki/vietas-formula
135,Cyclic polynomials,چند جمله ای های حلقوی,https://brilliant.org/wiki/cyclic-polynomials
136,Aime math contest preparation,آماده سازی مسابقه ریاضی هدف,https://brilliant.org/wiki/aime-math-contest-preparation
137,Kinematic motion and time,حرکت سینماتیک و زمان,https://brilliant.org/wiki/kinematic-motion-and-time
138,Homomorphism,هممورفیسم,https://brilliant.org/wiki/homomorphism
139,Sat numbers perfect score,اعداد نشست نمره کامل,https://brilliant.org/wiki/sat-numbers-perfect-score
140,Backpack problem,مشکل کوله پشتی,https://brilliant.org/wiki/backpack-problem
141,Induction with base case not 1,القایی با کیس پایه نه 1,https://brilliant.org/wiki/induction-with-base-case-not-1
142,Identifying functions,شناسایی توابع,https://brilliant.org/wiki/identifying-functions
143,Calculating moment of inertia of point masses,محاسبه گشتاور اینرسی جرم های نقطه ای,https://brilliant.org/wiki/calculating-moment-of-inertia-of-point-masses
144,Properties of isosceles triangles,خواص مثلث متساوی الساقین,https://brilliant.org/wiki/properties-of-isosceles-triangles
145,Taylor series manipulation,دستکاری سری تیلور,https://brilliant.org/wiki/taylor-series-manipulation
146,Spacetime,فضا-زمان,https://brilliant.org/wiki/spacetime
147,Generalizing the circular functions,تعمیم توابع دایره ای,https://brilliant.org/wiki/generalizing-the-circular-functions
148,K nearest neighbors,K نزدیکترین همسایگان,https://brilliant.org/wiki/k-nearest-neighbors
149,Negative binomial theorem,قضیه دو جمله ای منفی,https://brilliant.org/wiki/negative-binomial-theorem
150,Group theory introduction,مقدمه تئوری گروه,https://brilliant.org/wiki/group-theory-introduction
151,Le chateliers principle,اصل Le chateliers,https://brilliant.org/wiki/le-chateliers-principle
152,Semidirect product,محصول نیمه مستقیم,https://brilliant.org/wiki/semidirect-product
153,Survivorship bias,سوگیری بقا,https://brilliant.org/wiki/survivorship-bias
154,Expansions of certain trigonometric functions,بسط توابع مثلثاتی خاص,https://brilliant.org/wiki/expansions-of-certain-trigonometric-functions
155,Knuth morris pratt algorithm,الگوریتم Knuth Morris Pratt,https://brilliant.org/wiki/knuth-morris-pratt-algorithm
156,Finding the last digit of a power,پیدا کردن آخرین رقم یک توان,https://brilliant.org/wiki/finding-the-last-digit-of-a-power
157,Efficient market hypothesis,فرضیه بازار کارآمد,https://brilliant.org/wiki/efficient-market-hypothesis
158,Uniform convergence,همگرایی یکنواخت,https://brilliant.org/wiki/uniform-convergence
159,Sat estimation,برآورد سات,https://brilliant.org/wiki/sat-estimation
160,Electrode potential,پتانسیل الکترود,https://brilliant.org/wiki/electrode-potential
161,Trigonometric periodicity identities,هویت های تناوب مثلثاتی,https://brilliant.org/wiki/trigonometric-periodicity-identities
162,Features of carbon,ویژگی های کربن,https://brilliant.org/wiki/features-of-carbon
163,Polygon triangulation grids,شبکه های مثلثی چند ضلعی,https://brilliant.org/wiki/polygon-triangulation-grids
164,Partial fractions irreducible quadratics,کسری جزئی درجه دوم تقلیل ناپذیر,https://brilliant.org/wiki/partial-fractions-irreducible-quadratics
165,Game theory,نظریه بازی,https://brilliant.org/wiki/game-theory
166,Mathematics of voting,ریاضیات رای دادن,https://brilliant.org/wiki/mathematics-of-voting
167,Does sqrtatimes sqrtb sqrtab,آیا sqrtatimes sqrtb sqrtab,https://brilliant.org/wiki/does-sqrtatimes-sqrtb-sqrtab
168,Chemistry of drugs,شیمی داروها,https://brilliant.org/wiki/chemistry-of-drugs
169,Blake test,تست بلیک,https://brilliant.org/wiki/blake-test
170,Complex conjugate root theorem,قضیه ریشه مزدوج پیچیده,https://brilliant.org/wiki/complex-conjugate-root-theorem
171,Writing a resume,نوشتن رزومه,https://brilliant.org/wiki/writing-a-resume
172,Field lines field strength,خطوط میدان قدرت میدان,https://brilliant.org/wiki/field-lines-field-strength
173,Explaining the world,دنیا را توضیح می دهد,https://brilliant.org/wiki/explaining-the-world
174,Limits by rationalization,محدودیت ها با منطقی سازی,https://brilliant.org/wiki/limits-by-rationalization
175,British flag theorem,قضیه پرچم بریتانیا,https://brilliant.org/wiki/british-flag-theorem
176,Irregular polygons,چند ضلعی های نامنظم,https://brilliant.org/wiki/irregular-polygons
177,Absolute value inequalities 1 quadratic term,نابرابری های مقدار مطلق 1 جمله درجه دوم,https://brilliant.org/wiki/absolute-value-inequalities-1-quadratic-term
178,While,در حالی که,https://brilliant.org/wiki/while
179,Disc method,روش دیسک,https://brilliant.org/wiki/disc-method
180,Quadrilateral classification,طبقه بندی چهار ضلعی,https://brilliant.org/wiki/quadrilateral-classification
181,Descartes theorem,قضیه دکارت,https://brilliant.org/wiki/descartes-theorem
182,Data mining,داده کاوی,https://brilliant.org/wiki/data-mining
183,Factoring with special forms,فاکتورینگ با فرم های خاص,https://brilliant.org/wiki/factoring-with-special-forms
184,Is square root of a2b2 equal a b,آیا جذر a2b2 برابر با ab است,https://brilliant.org/wiki/is-square-root-of-a2b2-equal-a-b
185,Entropy information theory,نظریه اطلاعات آنتروپی,https://brilliant.org/wiki/entropy-information-theory
186,Modified duration,مدت زمان اصلاح شده,https://brilliant.org/wiki/modified-duration
187,Brahmaguptas fomula,فرمول برهماگوپتاس,https://brilliant.org/wiki/brahmaguptas-fomula
188,Fundamental trigonometric identities problem,مسئله هویت های مثلثاتی اساسی,https://brilliant.org/wiki/fundamental-trigonometric-identities-problem
189,Learn and practice calculus on brilliant,حساب دیفرانسیل و انتگرال را در برلیانت بیاموزید و تمرین کنید,https://brilliant.org/wiki/learn-and-practice-calculus-on-brilliant
190,Flow network,شبکه جریان,https://brilliant.org/wiki/flow-network
191,Knots,گره ها,https://brilliant.org/wiki/knots
192,Graphs intermediate,نمودارهای متوسط,https://brilliant.org/wiki/graphs-intermediate
193,Calculation rational exponents,محاسبه توان های گویا,https://brilliant.org/wiki/calculation-rational-exponents
194,Traveling salesperson problem,مشکل فروشنده مسافرتی,https://brilliant.org/wiki/traveling-salesperson-problem
195,Sat logic,منطق نشست,https://brilliant.org/wiki/sat-logic
196,Srinivasa ramanujan,Srinivasa Ramanujan,https://brilliant.org/wiki/srinivasa-ramanujan
197,Trigonometric r method,روش مثلثاتی r,https://brilliant.org/wiki/trigonometric-r-method
198,Integration,ادغام,https://brilliant.org/wiki/integration
199,Quantum mechanics,مکانیک کوانتومی,https://brilliant.org/wiki/quantum-mechanics
200,Installing python and numpy on macwindowslinux,نصب python و numpy در macwindowslinux,https://brilliant.org/wiki/installing-python-and-numpy-on-macwindowslinux
201,Graphing rational equations,ترسیم نمودار معادلات منطقی,https://brilliant.org/wiki/graphing-rational-equations
202,Stokes theorem,قضیه استوکس,https://brilliant.org/wiki/stokes-theorem
203,Geometric isomerism,ایزومریسم هندسی,https://brilliant.org/wiki/geometric-isomerism
204,Binomial theorem n choose k,قضیه دو جمله ای n k را انتخاب کنید,https://brilliant.org/wiki/binomial-theorem-n-choose-k
205,Recurrence relations,روابط عود,https://brilliant.org/wiki/recurrence-relations
206,Wave particle duality,دوگانگی ذرات موجی,https://brilliant.org/wiki/wave-particle-duality
207,Pascals theorem,قضیه پاسکال,https://brilliant.org/wiki/pascals-theorem
208,Squeeze theorem,قضیه فشردن,https://brilliant.org/wiki/squeeze-theorem
209,Partial fractions linear factors,کسری جزئی عوامل خطی,https://brilliant.org/wiki/partial-fractions-linear-factors
210,Selection bias,سوگیری انتخاب,https://brilliant.org/wiki/selection-bias
211,3d coordinate geometry parallel planes,صفحات موازی هندسه مختصات سه بعدی,https://brilliant.org/wiki/3d-coordinate-geometry-parallel-planes
212,Binary numbers,اعداد باینری,https://brilliant.org/wiki/binary-numbers
213,Factor polynomials by substitution,چند جمله ای های عاملی با جایگزینی,https://brilliant.org/wiki/factor-polynomials-by-substitution
214,Conditional probability distribution,توزیع احتمال مشروط,https://brilliant.org/wiki/conditional-probability-distribution
215,Integral of fractional ceiling and floor function,انتگرال عملکرد سقف و کف کسری,https://brilliant.org/wiki/integral-of-fractional-ceiling-and-floor-function
216,Macaulay duration,مدت زمان مکالی,https://brilliant.org/wiki/macaulay-duration
217,A cars gas mileage is independent of the number of,مسافت پیموده شده بنزین خودرو مستقل از تعداد است,https://brilliant.org/wiki/a-cars-gas-mileage-is-independent-of-the-number-of
218,First law of thermodynamics,قانون اول ترمودینامیک,https://brilliant.org/wiki/first-law-of-thermodynamics
219,Wilsons theorem,قضیه ویلسون,https://brilliant.org/wiki/wilsons-theorem
220,Feuerbach point,نقطه فوئرباخ,https://brilliant.org/wiki/feuerbach-point
221,Blackbody radiation,تشعشعات جسم سیاه,https://brilliant.org/wiki/blackbody-radiation
222,Sat direct and inverse variation,تغییر مستقیم و معکوس نشست,https://brilliant.org/wiki/sat-direct-and-inverse-variation
223,Spherical geometry,هندسه کروی,https://brilliant.org/wiki/spherical-geometry
224,Primitive roots of unity,ریشه های بدوی وحدت,https://brilliant.org/wiki/primitive-roots-of-unity
225,Coordinate bonds,اوراق قرضه را هماهنگ کنید,https://brilliant.org/wiki/coordinate-bonds
226,Integration of algebraic functions,ادغام توابع جبری,https://brilliant.org/wiki/integration-of-algebraic-functions
227,Linear equations parallel and perpendicular,معادلات خطی موازی و عمود بر هم هستند,https://brilliant.org/wiki/linear-equations-parallel-and-perpendicular
228,Is infty infty infty,Infty infty infty است,https://brilliant.org/wiki/is-infty-infty-infty
229,Tangent and cotangent graphs,نمودارهای مماس و کتانژانت,https://brilliant.org/wiki/tangent-and-cotangent-graphs
230,Strong induction,القایی قوی,https://brilliant.org/wiki/strong-induction
231,Magnetic effects of current,اثرات مغناطیسی جریان,https://brilliant.org/wiki/magnetic-effects-of-current
232,Venn diagram,نمودار ون,https://brilliant.org/wiki/venn-diagram
233,Identifying action reaction forces on free body,شناسایی نیروهای واکنش کنشی بر روی بدن آزاد,https://brilliant.org/wiki/identifying-action-reaction-forces-on-free-body
234,Finance quant interview,مصاحبه مقدار مالی,https://brilliant.org/wiki/finance-quant-interview
235,Microstates,ریز دولت ها,https://brilliant.org/wiki/microstates
236,Implicit differentiation,تمایز ضمنی,https://brilliant.org/wiki/implicit-differentiation
237,Logic puzzles advanced,پازل های منطقی پیشرفته,https://brilliant.org/wiki/logic-puzzles-advanced
238,Indirect variation,تنوع غیر مستقیم,https://brilliant.org/wiki/indirect-variation
239,Pigeonhole principle definition,تعریف اصل کبوتر,https://brilliant.org/wiki/pigeonhole-principle-definition
240,Simplify fractions,کسرها را ساده کنید,https://brilliant.org/wiki/simplify-fractions
241,Polar coordinates,مختصات قطبی,https://brilliant.org/wiki/polar-coordinates
242,Fermi estimate,تخمین فرمی,https://brilliant.org/wiki/fermi-estimate
243,Semiconductors,نیمه هادی ها,https://brilliant.org/wiki/semiconductors
244,Distribution of primes,توزیع اعداد اول,https://brilliant.org/wiki/distribution-of-primes
245,Solving for equilibrium,حل برای تعادل,https://brilliant.org/wiki/solving-for-equilibrium
246,Merge,ادغام,https://brilliant.org/wiki/merge
247,Specific heat,گرمای خاص,https://brilliant.org/wiki/specific-heat
248,Bond issuers municipals,شهرداری های صادرکننده اوراق قرضه,https://brilliant.org/wiki/bond-issuers-municipals
249,Greatest common divisor,بزرگترین مقسوم علیه مشترک,https://brilliant.org/wiki/greatest-common-divisor
250,Factoring by grouping,فاکتورگیری از طریق گروه بندی,https://brilliant.org/wiki/factoring-by-grouping
251,Triple quad formula,فرمول چهارگانه سه گانه,https://brilliant.org/wiki/triple-quad-formula
252,Cosmology overview,بررسی اجمالی کیهان شناسی,https://brilliant.org/wiki/cosmology-overview
253,Quadratic discriminant,تمایز درجه دوم,https://brilliant.org/wiki/quadratic-discriminant
254,Logic puzzles intermediate,معماهای منطقی متوسط,https://brilliant.org/wiki/logic-puzzles-intermediate
255,Polynomials,چند جمله ای ها,https://brilliant.org/wiki/polynomials
256,Titrations,تیتراژها,https://brilliant.org/wiki/titrations
257,Configurational entropy,آنتروپی پیکربندی,https://brilliant.org/wiki/configurational-entropy
258,Sampling,نمونه برداری,https://brilliant.org/wiki/sampling
259,Introduction to paradoxes,مقدمه ای بر پارادوکس ها,https://brilliant.org/wiki/introduction-to-paradoxes
260,Dynamic arrays,آرایه های پویا,https://brilliant.org/wiki/dynamic-arrays
261,3d coordinate geometry skew lines,خطوط اریب هندسی مختصات سه بعدی,https://brilliant.org/wiki/3d-coordinate-geometry-skew-lines
262,Open problems group open problem 1,گروه مشکلات باز مشکل باز 1,https://brilliant.org/wiki/open-problems-group-open-problem-1
263,Sat counting and probability,شمارش نشست و احتمال,https://brilliant.org/wiki/sat-counting-and-probability
264,Special relativity,نسبیت خاص,https://brilliant.org/wiki/special-relativity
265,Logical puzzles,پازل های منطقی,https://brilliant.org/wiki/logical-puzzles
266,Poisson distribution,توزیع پواسون,https://brilliant.org/wiki/poisson-distribution
267,Tessellate stems,ساقه های Tessellate,https://brilliant.org/wiki/tessellate-stems
268,Integration of rational functions easy,ادغام توابع منطقی آسان است,https://brilliant.org/wiki/integration-of-rational-functions-easy
269,Similar figures,ارقام مشابه,https://brilliant.org/wiki/similar-figures
270,Adding_velocity_vectors,افزودن_سرعت_بردارها,https://brilliant.org/wiki/adding_velocity_vectors
271,Greens theorem,قضیه سبزها,https://brilliant.org/wiki/greens-theorem
272,Rational equations,معادلات گویا,https://brilliant.org/wiki/rational-equations
273,Vector terminology,اصطلاحات برداری,https://brilliant.org/wiki/vector-terminology
274,Product rule,قانون محصول,https://brilliant.org/wiki/product-rule
275,Data presentation bar charts,نمودارهای میله ای ارائه داده ها,https://brilliant.org/wiki/data-presentation-bar-charts
276,Octet rule,قانون هشت,https://brilliant.org/wiki/octet-rule
277,Optical isomerism,ایزومریسم نوری,https://brilliant.org/wiki/optical-isomerism
278,Equilibrium,تعادل,https://brilliant.org/wiki/equilibrium
279,Wave equation,معادله موج,https://brilliant.org/wiki/wave-equation
280,Option value,مقدار گزینه,https://brilliant.org/wiki/option-value
281,Hermites identity,هویت هرمیت,https://brilliant.org/wiki/hermites-identity
282,Extremal principle,اصل افراطی,https://brilliant.org/wiki/extremal-principle
283,Diffie hellman protocol,پروتکل Diffie hellman,https://brilliant.org/wiki/diffie-hellman-protocol
284,Zero product property,خاصیت محصول صفر,https://brilliant.org/wiki/zero-product-property
285,Completing the square multiple variables,تکمیل مربع متغییرهای چندگانه,https://brilliant.org/wiki/completing-the-square-multiple-variables
286,Normal subgroup,زیر گروه عادی,https://brilliant.org/wiki/normal-subgroup
287,Hamiltonian path,مسیر همیلتونی,https://brilliant.org/wiki/hamiltonian-path
288,Cayley hamilton theorem,قضیه کیلی همیلتون,https://brilliant.org/wiki/cayley-hamilton-theorem
289,Arrays adt,آرایه ها,https://brilliant.org/wiki/arrays-adt
290,Using exponential decay to explain amplitude,استفاده از فروپاشی نمایی برای توضیح دامنه,https://brilliant.org/wiki/using-exponential-decay-to-explain-amplitude
291,Sat sets and venn diagrams,مجموعه های سات و نمودارهای ون,https://brilliant.org/wiki/sat-sets-and-venn-diagrams
